in_channels,out_channels,kernel_size,stride,groups,hw
64,16,1,1,1,14
16,64,1,1,1,14
80,80,3,1,5,28
80,80,3,2,5,28
80,80,1,1,1,28
80,20,1,1,1,28
20,80,1,1,1,28
80,80,3,1,5,14
80,80,3,2,5,14
80,80,1,1,1,14
80,20,1,1,1,14
20,80,1,1,1,14
96,96,3,1,6,28
96,96,3,2,6,28
96,96,1,1,1,28
96,24,1,1,1,28
24,96,1,1,1,28
96,96,3,1,6,14
96,96,3,2,6,14
96,96,1,1,1,14
96,24,1,1,1,14
24,96,1,1,1,14
112,112,3,1,7,28
112,112,3,2,7,28
112,112,1,1,1,28
112,28,1,1,1,28
28,112,1,1,1,28
112,112,3,1,7,14
112,112,3,2,7,14
112,112,1,1,1,14
112,28,1,1,1,14
28,112,1,1,1,14
128,128,3,1,8,28
128,128,3,2,8,28
128,128,1,1,1,28
128,32,1,1,1,28
32,128,1,1,1,28
128,128,3,1,8,14
128,128,3,2,8,14
128,128,1,1,1,14
128,32,1,1,1,14
32,128,1,1,1,14
144,144,3,1,9,28
144,144,3,2,9,28
144,144,1,1,1,28
144,36,1,1,1,28
36,144,1,1,1,28
144,144,3,1,9,14
144,144,3,2,9,14
144,144,1,1,1,14
144,36,1,1,1,14
36,144,1,1,1,14
160,160,3,1,10,28
160,160,3,2,10,28
160,160,1,1,1,28
160,40,1,1,1,28
40,160,1,1,1,28
160,160,3,1,10,14
160,160,3,2,10,14
160,160,1,1,1,14
160,40,1,1,1,14
40,160,1,1,1,14
176,176,3,1,11,28
176,176,3,2,11,28
176,176,1,1,1,28
176,44,1,1,1,28
44,176,1,1,1,28
176,176,3,1,11,14
176,176,3,2,11,14
176,176,1,1,1,14
176,44,1,1,1,14
44,176,1,1,1,14
192,192,3,1,12,28
192,192,3,2,12,28
192,192,1,1,1,28
192,48,1,1,1,28
48,192,1,1,1,28
192,192,3,1,12,14
192,192,3,2,12,14
192,192,1,1,1,14
192,48,1,1,1,14
48,192,1,1,1,14
208,208,3,1,13,28
208,208,3,2,13,28
208,208,1,1,1,28
208,52,1,1,1,28
52,208,1,1,1,28
208,208,3,1,13,14
208,208,3,2,13,14
208,208,1,1,1,14
208,52,1,1,1,14
52,208,1,1,1,14
224,224,3,1,14,28
224,224,3,2,14,28
224,224,1,1,1,28
224,56,1,1,1,28
56,224,1,1,1,28
224,224,3,1,14,14
224,224,3,2,14,14
224,224,1,1,1,14
224,56,1,1,1,14
56,224,1,1,1,14
240,240,3,1,15,28
240,240,3,2,15,28
240,240,1,1,1,28
240,60,1,1,1,28
60,240,1,1,1,28
240,240,3,1,15,14
240,240,3,2,15,14
240,240,1,1,1,14
240,60,1,1,1,14
60,240,1,1,1,14
256,256,3,1,16,28
256,256,3,2,16,28
256,256,1,1,1,28
256,64,1,1,1,28
64,256,1,1,1,28
256,256,3,1,16,14
256,256,3,2,16,14
256,256,1,1,1,14
256,64,1,1,1,14
64,256,1,1,1,14
128,128,3,1,8,14
128,128,3,2,8,14
128,128,1,1,1,14
128,32,1,1,1,14
32,128,1,1,1,14
128,128,3,1,8,7
128,128,3,2,8,7
128,128,1,1,1,7
128,32,1,1,1,7
32,128,1,1,1,7
144,144,3,1,9,14
144,144,3,2,9,14
144,144,1,1,1,14
144,36,1,1,1,14
36,144,1,1,1,14
144,144,3,1,9,7
144,144,3,2,9,7
144,144,1,1,1,7
144,36,1,1,1,7
36,144,1,1,1,7
160,160,3,1,10,14
160,160,3,2,10,14
160,160,1,1,1,14
160,40,1,1,1,14
40,160,1,1,1,14
160,160,3,1,10,7
160,160,3,2,10,7
160,160,1,1,1,7
160,40,1,1,1,7
40,160,1,1,1,7
176,176,3,1,11,14
176,176,3,2,11,14
176,176,1,1,1,14
176,44,1,1,1,14
44,176,1,1,1,14
176,176,3,1,11,7
176,176,3,2,11,7
176,176,1,1,1,7
176,44,1,1,1,7
44,176,1,1,1,7
192,192,3,1,12,14
192,192,3,2,12,14
192,192,1,1,1,14
192,48,1,1,1,14
48,192,1,1,1,14
192,192,3,1,12,7
192,192,3,2,12,7
192,192,1,1,1,7
192,48,1,1,1,7
48,192,1,1,1,7
208,208,3,1,13,14
208,208,3,2,13,14
208,208,1,1,1,14
208,52,1,1,1,14
52,208,1,1,1,14
208,208,3,1,13,7
208,208,3,2,13,7
208,208,1,1,1,7
208,52,1,1,1,7
52,208,1,1,1,7
224,224,3,1,14,14
224,224,3,2,14,14
224,224,1,1,1,14
224,56,1,1,1,14
56,224,1,1,1,14
224,224,3,1,14,7
